Station,Date,lat,lon,Pressure,Temperature,Conductivity,Turbidity,Oxygen,PAR,BeamTransmission,Fluorescence,Salinity
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,7.5,13.2132,4.199114,0.02,4.82936,8.03E+01,84.6508,0.5952,35.7768
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,8,13.1934,4.197203,0.128,4.83227,8.53E+01,84.5737,0.6331,35.7771
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,8.5,13.1764,4.195581,-0.004,4.83373,8.94E+01,84.5102,0.7043,35.7775
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,9,13.1579,4.193825,0,4.83997,9.30E+01,84.394,0.7285,35.7779
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,9.5,13.1317,4.191332,7.05E-08,4.84904,9.58E+01,84.3381,0.764,35.7786
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,10,13.0926,4.187552,-4.55E-10,4.85793,9.66E+01,84.2115,0.7701,35.7793
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,10.5,13.0486,4.183265,-3.97E-12,4.84813,9.51E+01,84.0644,0.9044,35.7797
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,11,13.011,4.179576,-3.67E-16,4.82994,9.24E+01,83.8947,0.9246,35.7797
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,11.5,12.975,4.176034,2.86E-17,4.80989,8.90E+01,84.1049,1.0121,35.7796
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,12,12.9405,4.172623,-1.28E-19,4.78735,8.55E+01,83.9205,1.1088,35.7793
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,12.5,12.909,4.169494,6.07E-21,4.77036,8.22E+01,83.8033,1.3833,35.779
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,13,12.8795,4.166566,-3.08E-22,4.75589,7.89E+01,83.8737,1.1996,35.7786
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,13.5,12.8508,4.163707,2.37E-20,4.73863,7.56E+01,84.3119,1.3455,35.7781
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,14,12.8234,4.160978,1.11E-18,4.71644,7.23E+01,84.4112,1.1285,35.7776
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,14.5,12.798,4.158436,6.55E-17,4.69236,6.91E+01,84.4358,1.0549,35.7771
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,15,12.7715,4.155774,4.46E-15,4.66668,6.58E+01,84.5172,1.0481,35.7764
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,15.5,12.7473,4.153334,-6.83E-13,4.63987,6.26E+01,84.64,1.0772,35.7757
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,16,12.7205,4.1506,-1.89E-09,4.60573,5.84E+01,84.6746,1.0415,35.7746
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,16.5,12.698,4.148275,6.54E-08,4.57609,5.43E+01,84.6471,1.0986,35.7733
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,17,12.686,4.147017,0,4.56048,5.19E+01,84.6603,1.01,35.7724
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,17.5,12.6749,4.14587,0.025,4.53704,4.94E+01,84.8213,1.0114,35.7716
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,18,12.666,4.144945,0.024,4.50927,4.72E+01,85.07,0.9344,35.7709
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,18.5,12.6585,4.144164,0.001,4.48979,4.52E+01,85.1486,0.8822,35.7703
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,19,12.6519,4.143482,0,4.47362,4.34E+01,85.2648,0.842,35.7698
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,19.5,12.6471,4.142981,2.55E-07,4.46528,4.21E+01,85.0774,0.8307,35.7693
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,20,12.642,4.142463,1.01E-08,4.45902,4.06E+01,85.023,0.8591,35.7689
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,20.5,12.6372,4.141973,-1.86E-09,4.45203,3.91E+01,85.0985,0.7987,35.7685
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,21,12.6325,4.141487,6.10E-11,4.44625,3.76E+01,85.1653,0.7696,35.7682
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,21.5,12.6273,4.140964,5.07E-13,4.44198,3.58E+01,85.1981,0.7769,35.7678
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,22,12.6214,4.140361,-2.61E-16,4.43809,3.37E+01,85.2489,0.7647,35.7674
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,22.5,12.6153,4.139733,1.21E-17,4.43898,3.16E+01,85.309,0.7912,35.7669
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,23,12.6081,4.138982,9.12E-20,4.44456,2.97E+01,85.2964,0.7794,35.7662
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,23.5,12.6009,4.138216,1.69E-22,4.45202,2.83E+01,85.4465,0.7727,35.7655
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,24,12.594,4.137468,3.56E-25,4.46303,2.72E+01,85.5204,0.7363,35.7646
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,24.5,12.5868,4.136683,-9.97E-27,4.4717,2.63E+01,85.5744,0.7269,35.7637
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,25,12.5785,4.135788,-2.97E-28,4.4828,2.53E+01,85.582,0.7418,35.7626
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,25.5,12.5684,4.134692,-1.89E-30,4.51127,2.42E+01,85.6802,0.7219,35.7614
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,26,12.5578,4.133531,7.09E-33,4.54519,2.32E+01,85.8616,0.7314,35.7601
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,26.5,12.5467,4.132323,-5.80E-32,4.57508,2.21E+01,86.1524,0.7267,35.7588
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,27,12.535,4.131055,-4.62E-30,4.60249,2.11E+01,86.5486,0.6809,35.7574
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,27.5,12.5249,4.129954,-3.00E-28,4.61969,2.02E+01,86.7896,0.6349,35.7562
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,28,12.5159,4.128971,-1.79E-26,4.63068,1.95E+01,86.7873,0.6085,35.755
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,28.5,12.505,4.127784,2.85E-24,4.63114,1.86E+01,86.7348,0.5956,35.7537
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,29,12.4936,4.126554,-5.54E-22,4.62379,1.77E+01,86.6545,0.6107,35.7524
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,29.5,12.4836,4.125473,-4.87E-20,4.61641,1.70E+01,86.6268,0.603,35.7512
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,30,12.4756,4.124614,7.19E-18,4.61299,1.63E+01,86.2983,0.5596,35.7503
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,30.5,12.4687,4.123862,5.33E-16,4.6113,1.58E+01,86.1621,0.5437,35.7494
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,31,12.4621,4.123149,3.55E-14,4.60305,1.52E+01,86.1442,0.5385,35.7485
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,31.5,12.4552,4.122406,2.41E-12,4.58848,1.47E+01,86.0094,0.5353,35.7477
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,32,12.4475,4.121573,-3.56E-10,4.57146,1.42E+01,85.88,0.5252,35.7467
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,32.5,12.4391,4.120664,-2.83E-08,4.55687,1.36E+01,85.7561,0.5164,35.7456
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,33,12.4306,4.119737,1.17E-07,4.54157,1.31E+01,85.5002,0.4958,35.7446
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,33.5,12.4217,4.11877,0,4.52334,1.25E+01,85.1752,0.4599,35.7434
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,34,12.4119,4.117698,0.022,4.50248,1.20E+01,84.8827,0.4692,35.7422
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,34.5,12.4027,4.116688,0.141,4.48308,1.14E+01,84.891,0.4522,35.7409
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,35,12.395,4.115845,0.104,4.46281,1.09E+01,84.7201,0.4404,35.7399
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,35.5,12.3873,4.115007,0.172,4.44279,1.05E+01,84.1232,0.4098,35.7388
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,36,12.381,4.114312,0.371,4.4255,1.00E+01,83.6991,0.3868,35.7379
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,36.5,12.3756,4.113723,0.484,4.40887,9.61E+00,83.4938,0.3494,35.7371
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,37,12.3708,4.1132,0.606,4.39503,9.21E+00,83.126,0.3298,35.7364
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,37.5,12.3663,4.11271,0.611,4.3816,8.78E+00,82.6491,0.3347,35.7357
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,38,12.3619,4.112229,0.512,4.36953,8.28E+00,82.3438,0.3323,35.7351
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,38.5,12.3582,4.111837,0.484,4.35983,7.74E+00,82.275,0.3373,35.7345
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,39,12.356,4.111613,0.386,4.35444,7.22E+00,82.2667,0.3276,35.7343
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,39.5,12.3549,4.111517,0.472,4.35,6.79E+00,82.2807,0.3511,35.7341
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,40,12.3543,4.111468,0.609,4.34738,6.39E+00,82.1919,0.339,35.7339
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,40.5,12.354,4.111452,0.445,4.34487,6.05E+00,82.1518,0.3399,35.7339
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,41,12.3537,4.111443,0.62,4.33948,5.70E+00,82.1881,0.3441,35.7338
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,41.5,12.3535,4.111435,0.61,4.33461,5.39E+00,81.9871,0.3448,35.7338
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,42,12.3532,4.111428,0.611,4.32986,5.12E+00,81.9593,0.3302,35.7337
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,42.5,12.353,4.111422,0.611,4.32869,4.88E+00,81.8999,0.3337,35.7337
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,43,12.3528,4.111417,0.611,4.32628,4.63E+00,81.8301,0.3105,35.7336
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,43.5,12.3526,4.111412,0.586,4.3246,4.39E+00,81.7926,0.341,35.7335
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,44,12.3523,4.111408,0.512,4.32163,4.13E+00,81.7875,0.3249,35.7335
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,44.5,12.352,4.111405,0.613,4.32343,3.83E+00,81.9272,0.327,35.7335
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,45,12.3517,4.111405,0.609,4.32328,3.53E+00,82.1914,0.3333,35.7336
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,45.5,12.3515,4.111408,0.504,4.32152,3.28E+00,82.1056,0.3419,35.7336
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,46,12.3514,4.111412,0.451,4.31891,3.07E+00,81.944,0.3321,35.7336
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,46.5,12.3512,4.111416,0.604,4.31691,2.89E+00,81.8138,0.3176,35.7336
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,47,12.351,4.111421,0.611,4.31605,2.71E+00,81.7628,0.3199,35.7335
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,47.5,12.3509,4.111424,0.611,4.31826,2.56E+00,81.7295,0.3303,35.7335
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,48,12.3507,4.111427,0.611,4.31803,2.42E+00,81.7042,0.3273,35.7334
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,48.5,12.3506,4.111431,0.611,4.31451,2.29E+00,81.7291,0.3294,35.7334
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,49,12.3505,4.111439,0.611,4.30996,2.18E+00,81.8049,0.3184,35.7333
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,49.5,12.3505,4.111453,0.611,4.30475,2.06E+00,81.9095,0.3254,35.7332
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,50,12.3505,4.111477,0.611,4.30232,1.92E+00,81.8284,0.3336,35.7333
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,50.5,12.3506,4.111509,0.61,4.30279,1.77E+00,81.7781,0.3206,35.7333
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,51,12.3507,4.111549,0.649,4.30054,1.63E+00,81.7602,0.3159,35.7333
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,51.5,12.3508,4.111585,0.615,4.29881,1.51E+00,81.8485,0.3342,35.7333
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,52,12.3509,4.111617,0.611,4.29853,1.42E+00,81.8715,0.3204,35.7334
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,52.5,12.351,4.111648,0.611,4.30077,1.34E+00,81.8398,0.3247,35.7333
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,53,12.3511,4.111679,0.611,4.30223,1.26E+00,81.768,0.3276,35.7333
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,53.5,12.3512,4.111713,0.611,4.30494,1.19E+00,81.7399,0.3411,35.7333
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,54,12.3514,4.111751,0.611,4.30806,1.11E+00,81.7729,0.3217,35.7333
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,54.5,12.3515,4.111789,0.611,4.31237,1.04E+00,81.7868,0.3281,35.7333
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,55,12.3516,4.111824,0.611,4.3164,9.74E-01,81.8413,0.309,35.7333
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,55.5,12.3518,4.111859,0.611,4.31756,9.12E-01,81.8193,0.3217,35.7333
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,56,12.3519,4.111891,0.611,4.3168,8.55E-01,81.7289,0.3282,35.7333
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,56.5,12.352,4.111918,0.611,4.3146,8.11E-01,81.568,0.3232,35.7332
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,57,12.3521,4.111943,0.611,4.31311,7.69E-01,81.4983,0.3076,35.7331
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,57.5,12.3522,4.111973,0.611,4.31307,7.21E-01,81.4972,0.3069,35.7331
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,58,12.3524,4.112006,0.611,4.31347,6.74E-01,81.5541,0.316,35.7331
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,58.5,12.3525,4.112043,0.611,4.31343,6.23E-01,81.6882,0.3081,35.7331
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,59,12.3526,4.112086,0.611,4.31423,5.70E-01,81.8338,0.325,35.7331
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,59.5,12.3528,4.112131,0.611,4.31624,5.16E-01,81.8341,0.3457,35.7332
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,60,12.3529,4.112165,0.611,4.31804,4.79E-01,81.8209,0.3203,35.7332
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,60.5,12.353,4.112192,0.611,4.31792,4.50E-01,81.6614,0.3325,35.7332
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,61,12.3531,4.112216,0.611,4.31325,4.23E-01,81.5955,0.3067,35.7331
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,61.5,12.3531,4.112238,0.611,4.31204,4.01E-01,81.6225,0.3134,35.7331
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,62,12.3532,4.112259,0.611,4.30895,3.82E-01,81.5554,0.3047,35.733
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,62.5,12.3533,4.112278,0.611,4.30812,3.66E-01,81.4604,0.3073,35.7328
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,63,12.3534,4.112296,0.611,4.30539,3.51E-01,81.5423,0.3075,35.7327
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,63.5,12.3539,4.112308,0.611,4.29515,3.58E-01,81.9748,0.3221,35.7321
Cs2,Jul 27 2010 16:50:39,42.1,-9,0.5,16.9732,4.576056,0.612,6.28416,5.68E+02,82.6281,1.8349,35.7781
Cs2,Jul 27 2010 16:50:39,42.1,-9,1,16.4075,4.517337,0.6,6.42294,4.97E+02,73.2521,2.6594,35.7658
Cs2,Jul 27 2010 16:50:39,42.1,-9,1.5,16.269,4.503331,0.612,6.43141,4.58E+02,72.5093,2.7304,35.7657
Cs2,Jul 27 2010 16:50:39,42.1,-9,2,16.0788,4.484183,0.531,6.45502,4.00E+02,73.0476,2.9415,35.7661
Cs2,Jul 27 2010 16:50:39,42.1,-9,2.5,15.8831,4.464513,0.608,6.43063,3.41E+02,72.979,3.0376,35.7666
Cs2,Jul 27 2010 16:50:39,42.1,-9,3,15.7053,4.446628,0.612,6.38837,2.92E+02,72.8888,3.2194,35.7666
Cs2,Jul 27 2010 16:50:39,42.1,-9,3.5,15.5318,4.429184,0.511,6.34489,2.48E+02,72.7177,3.5804,35.7666
Cs2,Jul 27 2010 16:50:39,42.1,-9,4,15.3382,4.40971,0.613,6.30581,2.09E+02,72.4009,4.1259,35.7663
Cs2,Jul 27 2010 16:50:39,42.1,-9,4.5,15.1796,4.393781,0.615,6.28799,1.83E+02,72.7492,4.1807,35.7661
Cs2,Jul 27 2010 16:50:39,42.1,-9,5,14.9781,4.373556,0.378,6.28779,1.53E+02,72.774,4.4745,35.7656
Cs2,Jul 27 2010 16:50:39,42.1,-9,5.5,14.8105,4.356733,0.398,6.31119,1.30E+02,73.3963,4.8157,35.7651
Cs2,Jul 27 2010 16:50:39,42.1,-9,6,14.6876,4.344398,0.496,6.35855,1.13E+02,73.1191,5.214,35.7644
Cs2,Jul 27 2010 16:50:39,42.1,-9,6.5,14.5636,4.33196,0.596,6.39242,9.67E+01,72.5336,6.0272,35.7638
Cs2,Jul 27 2010 16:50:39,42.1,-9,7,14.4524,4.320811,0.308,6.41098,8.38E+01,72.3794,7.0443,35.7632
Cs2,Jul 27 2010 16:50:39,42.1,-9,7.5,14.3046,4.306036,0.555,6.36386,6.89E+01,72.1102,7.674,35.7628
Cs2,Jul 27 2010 16:50:39,42.1,-9,8,14.16,4.291641,0.526,6.22344,5.60E+01,70.3725,9.8947,35.7627
Cs2,Jul 27 2010 16:50:39,42.1,-9,8.5,14.0539,4.281087,0.612,6.06701,4.73E+01,69.9654,9.6366,35.7625
Cs2,Jul 27 2010 16:50:39,42.1,-9,9,13.9762,4.273363,0.62,5.95325,4.19E+01,70.1379,9.1694,35.7624
Cs2,Jul 27 2010 16:50:39,42.1,-9,9.5,13.89,4.264831,0.472,5.84007,3.68E+01,71.2719,9.3202,35.7626
Cs2,Jul 27 2010 16:50:39,42.1,-9,10,13.7628,4.2523,0.545,5.69037,3.01E+01,72.0556,7.4337,35.7634
Cs2,Jul 27 2010 16:50:39,42.1,-9,10.5,13.6314,4.239443,0.502,5.54927,2.43E+01,73.2831,6.2684,35.765
Cs2,Jul 27 2010 16:50:39,42.1,-9,11,13.5271,4.229331,0.438,5.43291,2.04E+01,75.0871,6.0201,35.767
Cs2,Jul 27 2010 16:50:39,42.1,-9,11.5,13.4333,4.220304,0.153,5.32949,1.73E+01,75.7718,6.1216,35.7693
Cs2,Jul 27 2010 16:50:39,42.1,-9,12,13.3733,4.214557,0.459,5.26486,1.55E+01,76.8523,5.7208,35.771
Cs2,Jul 27 2010 16:50:39,42.1,-9,12.5,13.3182,4.209296,0.312,5.20335,1.39E+01,78.3035,4.7682,35.7726
Cs2,Jul 27 2010 16:50:39,42.1,-9,13,13.2696,4.204665,-0.01,5.15426,1.26E+01,79.8943,4.0055,35.7741
Cs2,Jul 27 2010 16:50:39,42.1,-9,13.5,13.2236,4.200298,0,5.11098,1.15E+01,81.5312,4.1019,35.7756
Cs2,Jul 27 2010 16:50:39,42.1,-9,14,13.1791,4.19607,0,5.07105,1.05E+01,82.6311,2.9448,35.7772
Cs2,Jul 27 2010 16:50:39,42.1,-9,14.5,13.1379,4.192162,-3.57E-09,5.02971,9.56E+00,83.3457,2.7854,35.7785
Cs2,Jul 27 2010 16:50:39,42.1,-9,15,13.0969,4.188249,-8.29E-11,4.98437,8.70E+00,83.8216,2.9662,35.7797
Cs2,Jul 27 2010 16:50:39,42.1,-9,15.5,13.0609,4.184792,1.56E-13,4.94862,7.98E+00,84.4092,2.6417,35.7804
Cs2,Jul 27 2010 16:50:39,42.1,-9,16,13.0304,4.181834,3.54E-16,4.92377,7.41E+00,84.3907,2.4617,35.7808
Cs2,Jul 27 2010 16:50:39,42.1,-9,16.5,12.9982,4.178701,-1.65E-18,4.8977,6.86E+00,84.617,2.1215,35.781
Cs2,Jul 27 2010 16:50:39,42.1,-9,17,12.9684,4.175795,-1.15E-20,4.86836,6.38E+00,84.7713,2.0614,35.7811
Cs2,Jul 27 2010 16:50:39,42.1,-9,17.5,12.9473,4.173724,-3.80E-19,4.8439,6.04E+00,84.7365,1.9317,35.7811
Cs2,Jul 27 2010 16:50:39,42.1,-9,18,12.9289,4.171935,1.29E-17,4.81869,5.76E+00,84.861,1.9085,35.7811
Cs2,Jul 27 2010 16:50:39,42.1,-9,18.5,12.9116,4.170248,6.03E-16,4.79226,5.50E+00,84.9321,1.6664,35.7811
Cs2,Jul 27 2010 16:50:39,42.1,-9,19,12.8931,4.168439,3.86E-14,4.76417,5.22E+00,85.1053,1.4884,35.7811
Cs2,Jul 27 2010 16:50:39,42.1,-9,19.5,12.8746,4.166637,-5.38E-12,4.73937,4.94E+00,85.2243,1.4433,35.7811
Cs2,Jul 27 2010 16:50:39,42.1,-9,20,12.8539,4.164623,9.98E-10,4.71139,4.62E+00,85.3133,1.6662,35.7812
Cs2,Jul 27 2010 16:50:39,42.1,-9,20.5,12.8313,4.16243,4.70E-08,4.67898,4.26E+00,84.4909,1.6039,35.7812
Cs2,Jul 27 2010 16:50:39,42.1,-9,21,12.8112,4.160493,0,4.65475,3.91E+00,85.5886,1.3715,35.7814
Cs2,Jul 27 2010 16:50:39,42.1,-9,21.5,12.7998,4.159405,0.025,4.64428,3.69E+00,85.5927,1.3886,35.7816
Cs2,Jul 27 2010 16:50:39,42.1,-9,22,12.7914,4.158629,0.024,4.63355,3.51E+00,85.6794,1.2197,35.7819
Cs2,Jul 27 2010 16:50:39,42.1,-9,22.5,12.7839,4.157942,0,4.61901,3.32E+00,85.6519,1.122,35.7822
Cs2,Jul 27 2010 16:50:39,42.1,-9,23,12.7785,4.157477,0,4.60671,3.16E+00,85.7063,1.1997,35.7826
Cs2,Jul 27 2010 16:50:39,42.1,-9,23.5,12.7743,4.157129,-1.19E-08,4.60129,3.02E+00,85.701,1.3553,35.7831
Cs2,Jul 27 2010 16:50:39,42.1,-9,24,12.7707,4.156843,-1.76E-09,4.60147,2.89E+00,85.7595,1.077,35.7835
Cs2,Jul 27 2010 16:50:39,42.1,-9,24.5,12.7676,4.156605,3.32E-11,4.60076,2.77E+00,85.7504,1.2237,35.7839
Cs2,Jul 27 2010 16:50:39,42.1,-9,25,12.7644,4.156365,6.53E-13,4.60101,2.63E+00,85.8142,1.1476,35.7845
Cs2,Jul 27 2010 16:50:39,42.1,-9,25.5,12.7612,4.156129,1.47E-16,4.60827,2.49E+00,85.7342,1.0512,35.785
Cs2,Jul 27 2010 16:50:39,42.1,-9,26,12.7581,4.155896,-4.85E-17,4.61891,2.36E+00,85.8253,1.0905,35.7855
Cs2,Jul 27 2010 16:50:39,42.1,-9,26.5,12.7544,4.155593,-1.25E-18,4.62715,2.22E+00,85.8333,1.1358,35.7859
Cs2,Jul 27 2010 16:50:39,42.1,-9,27,12.7501,4.155221,7.19E-21,4.63172,2.08E+00,85.9207,1.1143,35.7861
Cs2,Jul 27 2010 16:50:39,42.1,-9,27.5,12.746,4.154827,-7.86E-25,4.63057,1.96E+00,85.7949,1.1004,35.7861
Cs2,Jul 27 2010 16:50:39,42.1,-9,28,12.7418,4.154417,-2.68E-26,4.62559,1.86E+00,85.6812,1.1674,35.7858
Cs2,Jul 27 2010 16:50:39,42.1,-9,28.5,12.7372,4.153947,7.44E-28,4.61772,1.77E+00,85.6198,1.1669,35.7854
Cs2,Jul 27 2010 16:50:39,42.1,-9,29,12.7324,4.153442,-8.54E-30,4.60704,1.67E+00,85.7186,1.2241,35.7849
Cs2,Jul 27 2010 16:50:39,42.1,-9,29.5,12.7275,4.15291,-5.98E-32,4.58463,1.58E+00,85.7146,1.6029,35.7843
Cs2,Jul 27 2010 16:50:39,42.1,-9,30,12.7223,4.152353,1.66E-34,4.56215,1.49E+00,85.642,1.3405,35.7836
Cs2,Jul 27 2010 16:50:39,42.1,-9,30.5,12.7173,4.151818,-2.92E-36,4.54625,1.41E+00,85.4349,1.3181,35.7829
Cs2,Jul 27 2010 16:50:39,42.1,-9,31,12.713,4.151353,2.61E-38,4.53636,1.34E+00,85.4525,1.3835,35.7824
