Depth,Temperature,Oxygen,Irradiance,Salinity
49,13.739,5.02083,1.32E+00,35.9108
49.5,13.7178,5.02204,1.27E+00,35.9087
50,13.6949,5.0229,1.22E+00,35.9063
50.5,13.6702,5.02251,1.17E+00,35.9037
51,13.6459,5.02391,1.13E+00,35.901
51.5,13.6243,5.02531,1.09E+00,35.8985
52,13.6055,5.02163,1.05E+00,35.8963
52.5,13.5885,5.01755,1.02E+00,35.8942
53,13.5738,5.01931,9.92E-01,35.8924
53.5,13.5621,5.01753,9.67E-01,35.8911
54,13.5526,5.01899,9.46E-01,35.8899
54.5,13.5423,5.01842,9.20E-01,35.8886
55,13.5312,5.02064,8.89E-01,35.8873
55.5,13.521,5.01825,8.55E-01,35.8862
56,13.513,5.01422,8.21E-01,35.8854
56.5,13.5082,5.01155,7.92E-01,35.885
57,13.505,5.01311,7.62E-01,35.8847
57.5,13.5028,5.01391,7.34E-01,35.8845
58,13.5009,5.01635,7.06E-01,35.8844
58.5,13.4987,5.01972,6.80E-01,35.8842
59,13.4961,5.02211,6.55E-01,35.8841
59.5,13.493,5.02334,6.31E-01,35.8839
60,13.4901,5.02052,6.11E-01,35.8837
60.5,13.4872,5.01722,5.94E-01,35.8834
61,13.4842,5.01171,5.78E-01,35.8832
61.5,13.4811,5.0069,5.64E-01,35.8829
62,13.4777,5.00533,5.50E-01,35.8827
62.5,13.4741,5.00679,5.38E-01,35.8823
63,13.4704,5.00689,5.25E-01,35.8819
63.5,13.4659,5.00896,5.12E-01,35.8817
64,13.4606,5.01009,4.97E-01,35.8812
64.5,13.4535,5.01118,4.79E-01,35.8807
65,13.4442,5.01267,4.57E-01,35.8801
65.5,13.4329,5.01126,4.34E-01,35.8793
66,13.4223,5.0097,4.16E-01,35.8784
66.5,13.4125,5.01344,4.01E-01,35.8774
67,13.4025,5.01812,3.88E-01,35.8764
67.5,13.3933,5.01987,3.76E-01,35.8755
68,13.3848,5.0193,3.66E-01,35.8744
68.5,13.3761,5.01981,3.56E-01,35.8735
69,13.3667,5.01658,3.47E-01,35.8724
69.5,13.3581,5.01487,3.38E-01,35.8714
70,13.3504,5.01344,3.30E-01,35.8704
70.5,13.3422,5.01345,3.22E-01,35.8693
71,13.334,5.01383,3.14E-01,35.8683
71.5,13.3259,5.01277,3.06E-01,35.8672
72,13.3176,5.01185,2.98E-01,35.8661
72.5,13.3078,5.01471,2.89E-01,35.8648
73,13.2962,5.01631,2.78E-01,35.8633
73.5,13.2841,5.01899,2.67E-01,35.8618
74,13.2712,5.02399,2.55E-01,35.8601
74.5,13.262,5.02816,2.46E-01,35.859
75,13.2555,5.02903,2.39E-01,35.858
75.5,13.2499,5.02953,2.33E-01,35.8571
76,13.2447,5.02929,2.27E-01,35.8563
76.5,13.2393,5.03049,2.21E-01,35.8554
77,13.2319,5.03277,2.13E-01,35.8544
77.5,13.2239,5.03593,2.05E-01,35.8533
78,13.2166,5.03774,1.97E-01,35.8522
78.5,13.2096,5.03445,1.90E-01,35.8512
79,13.2033,5.03403,1.84E-01,35.8503
79.5,13.1976,5.03366,1.79E-01,35.8494
80,13.1925,5.03369,1.74E-01,35.8486
80.5,13.1875,5.03362,1.70E-01,35.8479
81,13.1821,5.03444,1.66E-01,35.847
81.5,13.1762,5.03413,1.61E-01,35.8461
82,13.1696,5.03255,1.56E-01,35.845
82.5,13.1611,5.03258,1.51E-01,35.8438
83,13.1515,5.03336,1.45E-01,35.8424
83.5,13.1422,5.03429,1.39E-01,35.841
84,13.1323,5.03199,1.34E-01,35.8396
84.5,13.1238,5.03103,1.29E-01,35.8384
85,13.1169,5.02908,1.26E-01,35.8373
85.5,13.1109,5.02889,1.22E-01,35.8364
86,13.1049,5.02833,1.19E-01,35.8355
86.5,13.099,5.02722,1.16E-01,35.8345
87,13.0924,5.02706,1.13E-01,35.8335
87.5,13.0856,5.02471,1.10E-01,35.8325
88,13.0791,5.02281,1.06E-01,35.8317
88.5,13.0732,5.01816,1.03E-01,35.8308
89,13.0676,5.01565,9.97E-02,35.83
89.5,13.0626,5.01338,9.68E-02,35.8292
90,13.0582,5.01247,9.40E-02,35.8286
90.5,13.0533,5.01251,9.09E-02,35.8279
91,13.0481,5.01148,8.77E-02,35.8272
91.5,13.0421,5.01381,8.38E-02,35.8263
92,13.0363,5.01237,8.00E-02,35.8256
92.5,13.0317,5.01127,7.70E-02,35.8249
93,13.028,5.0121,7.45E-02,35.8243
93.5,13.0248,5.01139,7.23E-02,35.8238
94,13.0213,5.00993,6.99E-02,35.8233
94.5,13.0181,5.0084,6.77E-02,35.8228
95,13.0153,5.00876,6.56E-02,35.8223
95.5,13.0126,5.01053,6.36E-02,35.8219
96,13.0096,5.01304,6.12E-02,35.8215
96.5,13.0063,5.0142,5.85E-02,35.821
97,13.0029,5.01341,5.55E-02,35.8207
97.5,13.0005,5.01223,5.31E-02,35.8203
98,12.9985,5.00978,5.11E-02,35.82
98.5,12.9965,5.01038,4.90E-02,35.8198
99,12.9946,5.01094,4.69E-02,35.8194
99.5,12.9927,5.01199,4.49E-02,35.8192
100,12.9906,5.01278,4.27E-02,35.8189
100.5,12.988,5.01321,4.03E-02,35.8186
101,12.9853,5.01038,3.80E-02,35.8182
101.5,12.9831,5.00716,3.63E-02,35.8179
102,12.9808,5.00779,3.47E-02,35.8175
102.5,12.9783,5.00689,3.31E-02,35.8171
103,12.9757,5.01006,3.16E-02,35.8167
103.5,12.973,5.01314,3.01E-02,35.8163
104,12.9703,5.01567,2.86E-02,35.8159
104.5,12.9675,5.01449,2.71E-02,35.8154
105,12.9643,5.01151,2.55E-02,35.815
105.5,12.9615,5.00495,2.40E-02,35.8145
106,12.9588,5.0026,2.27E-02,35.8141
106.5,12.9563,5.00368,2.15E-02,35.8137
107,12.9538,5.0071,2.04E-02,35.8133
107.5,12.9512,5.01029,1.92E-02,35.8128
108,12.9479,5.01332,1.80E-02,35.8123
108.5,12.9432,5.01553,1.64E-02,35.8116
109,12.9363,5.01829,1.43E-02,35.8107
109.5,12.9296,5.02066,1.25E-02,35.8097
110,12.9244,5.02087,1.12E-02,35.8089
110.5,12.9201,5.01414,1.01E-02,35.8083
111,12.9167,5.00821,9.14E-03,35.8077
111.5,12.9135,5.00461,8.30E-03,35.8072
112,12.9105,5.00358,7.55E-03,35.8067
112.5,12.9076,5.00636,6.79E-03,35.8062
113,12.9045,5.00955,6.00E-03,35.8057
113.5,12.9017,5.00854,5.21E-03,35.8052
114,12.8989,5.00661,4.43E-03,35.8049
114.5,12.8961,5.0059,3.58E-03,35.8044
115,12.8933,5.00582,2.73E-03,35.8041
115.5,12.891,5.00761,1.98E-03,35.8037
116,12.8886,5.00978,1.26E-03,35.8034
116.5,12.8863,5.01119,6.66E-04,35.8032
117,12.8842,5.01129,3.08E-04,35.803
117.5,12.8826,5.00901,1.32E-04,35.8028
118,12.8814,5.00582,5.87E-05,35.8026
118.5,12.8803,5.0073,2.76E-05,35.8024
119,12.879,5.00898,1.01E-05,35.8022
119.5,12.8774,5.01103,4.18E-06,35.8019
120,12.8754,5.01227,6.04E-07,35.8016
120.5,12.8734,5.01166,-1.19E-08,35.8013
121,12.871,5.01178,-7.57E-11,35.801
121.5,12.8684,5.01134,-4.44E-12,35.8006
122,12.8654,5.01106,1.35E-12,35.8002
122.5,12.8621,5.00939,9.96E-13,35.7998
123,12.8583,5.01017,1.00E-12,35.7993
123.5,12.8544,5.00893,1.00E-12,35.7986
124,12.8507,5.00902,1.00E-12,35.7981
124.5,12.8471,5.00914,1.00E-12,35.7976
125,12.8431,5.01312,1.00E-12,35.797
125.5,12.8391,5.01761,1.00E-12,35.7964
126,12.8351,5.01879,1.00E-12,35.7958
126.5,12.8313,5.0172,1.00E-12,35.7952
127,12.8282,5.01685,1.00E-12,35.7947
127.5,12.8255,5.01522,1.00E-12,35.7942
128,12.823,5.01247,1.00E-12,35.7938
128.5,12.8205,5.01061,1.00E-12,35.7933
129,12.8179,5.00839,1.00E-12,35.7929
129.5,12.8149,5.00649,1.00E-12,35.7924
130,12.8122,5.00529,1.00E-12,35.7919
130.5,12.8091,5.00779,1.00E-12,35.7914
131,12.8057,5.00814,1.00E-12,35.791
131.5,12.8027,5.00785,1.00E-12,35.7905
132,12.7993,5.00585,1.00E-12,35.79
132.5,12.7964,5.00596,1.00E-12,35.7896
133,12.7938,5.00487,1.00E-12,35.7892
133.5,12.7913,5.00125,1.00E-12,35.7888
134,12.7886,4.99956,1.00E-12,35.7885
134.5,12.7863,4.99759,1.00E-12,35.7882
135,12.7838,4.99885,1.00E-12,35.7877
135.5,12.7805,4.99846,1.00E-12,35.7872
136,12.7771,4.99828,1.00E-12,35.7867
136.5,12.774,4.99931,1.00E-12,35.7863
137,12.7707,4.99969,1.00E-12,35.7858
137.5,12.767,4.99783,1.00E-12,35.7852
138,12.7633,4.99619,1.00E-12,35.7846
138.5,12.7599,4.99659,1.00E-12,35.784
139,12.7565,4.99643,1.00E-12,35.7835
139.5,12.7526,4.99856,1.00E-12,35.7828
140,12.747,4.99612,1.00E-12,35.782
140.5,12.7404,4.99486,1.00E-12,35.7812
141,12.7334,4.99947,1.00E-12,35.7802
141.5,12.7271,5.00467,1.00E-12,35.7793
142,12.7226,5.01263,1.00E-12,35.7787
142.5,12.7196,5.01334,1.00E-12,35.7782
143,12.7171,5.01557,1.00E-12,35.7778
143.5,12.715,5.01545,1.00E-12,35.7774
144,12.7128,5.01304,1.00E-12,35.777
144.5,12.7106,5.00857,1.00E-12,35.7766
145,12.7083,5.00291,1.00E-12,35.7762
145.5,12.7057,4.99837,1.00E-12,35.7757
146,12.7029,4.99597,1.00E-12,35.7753
146.5,12.7001,4.99647,1.00E-12,35.7749
147,12.6973,4.99726,1.00E-12,35.7745
147.5,12.6944,4.99803,1.00E-12,35.774
148,12.6911,4.9985,1.00E-12,35.7735
148.5,12.6869,4.99592,1.00E-12,35.7731
149,12.6838,4.99542,1.00E-12,35.7727
149.5,12.6818,4.99818,1.00E-12,35.7724
150,12.6802,5.00201,1.00E-12,35.7722
150.5,12.6785,5.00576,1.00E-12,35.772
151,12.6771,5.00601,1.00E-12,35.7717
151.5,12.6758,4.99997,1.00E-12,35.7715
152,12.6747,4.99325,1.00E-12,35.7713
152.5,12.6737,4.98924,1.00E-12,35.7711
153,12.6726,4.99005,1.00E-12,35.7709
153.5,12.6715,4.9887,1.00E-12,35.7707
154,12.6702,4.99239,1.00E-12,35.7705
154.5,12.6688,4.99451,1.00E-12,35.7702
155,12.6674,4.99504,1.00E-12,35.77
155.5,12.6658,4.99713,1.00E-12,35.7698
156,12.6639,4.99631,1.00E-12,35.7695
156.5,12.6618,4.99638,1.00E-12,35.7692
157,12.6594,4.99645,1.00E-12,35.7689
157.5,12.6551,5.00119,1.00E-12,35.7684
158,12.6494,5.00823,1.00E-12,35.7677
158.5,12.6446,5.00423,1.00E-12,35.7671
159,12.641,4.99589,1.00E-12,35.7666
159.5,12.6382,4.99215,1.00E-12,35.766
160,12.6358,4.99303,1.00E-12,35.7656
160.5,12.6334,4.99268,1.00E-12,35.7652
161,12.6311,4.99426,1.00E-12,35.7648
161.5,12.6287,4.99453,1.00E-12,35.7644
162,12.626,4.98993,1.00E-12,35.764
162.5,12.6234,4.98608,1.00E-12,35.7636
163,12.621,4.98482,1.00E-12,35.7633
163.5,12.6191,4.98488,1.00E-12,35.7629
164,12.6172,4.98864,1.00E-12,35.7627
164.5,12.6154,4.98761,1.00E-12,35.7625
165,12.6143,4.9921,1.00E-12,35.7623
165.5,12.6136,4.99373,1.00E-12,35.7623
166,12.613,4.99128,1.00E-12,35.7622
166.5,12.6126,4.99364,1.00E-12,35.7621
167,12.6121,4.99103,1.00E-12,35.762
167.5,12.6116,4.99491,1.00E-12,35.7619
168,12.6109,4.99719,1.00E-12,35.7617
168.5,12.6101,4.9931,1.00E-12,35.7616
169,12.6093,4.99337,1.00E-12,35.7615
169.5,12.6084,4.99585,1.00E-12,35.7615
170,12.6077,4.99351,1.00E-12,35.7613
170.5,12.6069,4.99284,1.00E-12,35.7611
171,12.6062,4.99354,1.00E-12,35.761
171.5,12.6054,4.99363,1.00E-12,35.7609
172,12.6045,4.99693,1.00E-12,35.7607
172.5,12.6034,4.99599,1.00E-12,35.7606
173,12.6021,4.99779,1.00E-12,35.7605
173.5,12.6009,4.99484,1.00E-12,35.7604
174,12.6001,4.99631,1.00E-12,35.7602
174.5,12.5991,4.99928,1.00E-12,35.7601
175,12.5984,4.99616,1.00E-12,35.76
175.5,12.5976,4.99674,1.00E-12,35.7599
176,12.597,5.00042,1.00E-12,35.7598
176.5,12.5965,5.00297,1.00E-12,35.7596
177,12.596,4.99825,1.00E-12,35.7595
177.5,12.5956,4.99684,1.00E-12,35.7594
178,12.5952,4.99684,1.00E-12,35.7593
178.5,12.5948,4.99962,1.00E-12,35.7593
179,12.5945,4.99904,1.00E-12,35.7592
179.5,12.5942,4.99892,1.00E-12,35.7591
180,12.5938,4.99963,1.00E-12,35.7591
180.5,12.5935,5.00075,1.00E-12,35.7592
181,12.5933,4.99957,1.00E-12,35.7592
181.5,12.5931,4.9974,1.00E-12,35.7591
182,12.593,4.99694,1.00E-12,35.7591
182.5,12.5927,4.99627,1.00E-12,35.759
183,12.5925,4.99929,1.00E-12,35.7589
183.5,12.5921,5.00051,1.00E-12,35.7589
184,12.5916,5.00073,1.00E-12,35.7588
184.5,12.5912,5.00161,1.00E-12,35.7587
185,12.5906,5.00284,1.00E-12,35.7587
185.5,12.5902,5.00141,1.00E-12,35.7585
186,12.5897,4.99846,1.00E-12,35.7584
186.5,12.5892,4.99937,1.00E-12,35.7582
187,12.5886,5.00051,1.00E-12,35.7581
187.5,12.5877,5.00121,1.00E-12,35.758
188,12.5865,5.00054,1.00E-12,35.7578
188.5,12.5846,5.00393,1.00E-12,35.7576
189,12.5823,5.00178,1.00E-12,35.7574
189.5,12.5803,4.99815,1.00E-12,35.7571
190,12.5785,4.99326,1.00E-12,35.7568
190.5,12.5769,4.99286,1.00E-12,35.7565
191,12.5753,4.99329,1.00E-12,35.7561
191.5,12.5736,4.99223,1.00E-12,35.7558
192,12.5719,4.99439,1.00E-12,35.7555
192.5,12.5698,4.99625,1.00E-12,35.7552
193,12.5674,4.99979,1.00E-12,35.7548
193.5,12.5651,4.99352,1.00E-12,35.7545
194,12.5631,4.98422,1.00E-12,35.7541
194.5,12.5613,4.97933,1.00E-12,35.7538
195,12.5598,4.97849,1.00E-12,35.7535
195.5,12.5582,4.97887,1.00E-12,35.7533
196,12.5564,4.97915,1.00E-12,35.753
196.5,12.5543,4.98243,1.00E-12,35.7527
197,12.5522,4.98444,1.00E-12,35.7526
197.5,12.5501,4.984,1.00E-12,35.7523
198,12.5483,4.98674,1.00E-12,35.7521
198.5,12.5464,4.98944,1.00E-12,35.7519
199,12.5446,4.98982,1.00E-12,35.7516
199.5,12.5425,4.99222,1.00E-12,35.7513
200,12.5402,4.99323,1.00E-12,35.751
200.5,12.5377,4.99559,1.00E-12,35.7507
201,12.535,4.99718,1.00E-12,35.7503
201.5,12.5327,4.99709,1.00E-12,35.7499
202,12.53,4.9954,1.00E-12,35.7495
202.5,12.5269,4.99386,1.00E-12,35.7491
203,12.5238,4.99176,1.00E-12,35.7487
203.5,12.5206,4.9899,1.00E-12,35.7483
204,12.5175,4.98838,1.00E-12,35.7478
204.5,12.5135,4.9887,1.00E-12,35.7474
205,12.5093,4.98582,1.00E-12,35.7469
205.5,12.5054,4.98407,1.00E-12,35.7464
206,12.502,4.98474,1.00E-12,35.746
206.5,12.4995,4.98695,1.00E-12,35.7457
207,12.4972,4.98954,1.00E-12,35.7454
207.5,12.4954,4.98831,1.00E-12,35.745
208,12.4938,4.99032,1.00E-12,35.7448
208.5,12.492,4.98909,1.00E-12,35.7445
209,12.4903,4.98431,1.00E-12,35.7443
209.5,12.4886,4.9838,1.00E-12,35.744
210,12.4867,4.98271,1.00E-12,35.7437
210.5,12.4845,4.98463,1.00E-12,35.7434
211,12.4824,4.98348,1.00E-12,35.743
211.5,12.48,4.98197,1.00E-12,35.7427
212,12.4774,4.98129,1.00E-12,35.7424
212.5,12.4749,4.98079,1.00E-12,35.7421
213,12.4726,4.98062,1.00E-12,35.7418
213.5,12.4704,4.98323,1.00E-12,35.7416
214,12.4682,4.98673,1.00E-12,35.7413
214.5,12.4658,4.98911,1.00E-12,35.7409
215,12.4633,4.99049,1.00E-12,35.7406
215.5,12.4608,4.98981,1.00E-12,35.7403
216,12.4587,4.98803,1.00E-12,35.7399
216.5,12.4566,4.98613,1.00E-12,35.7396
217,12.4546,4.98109,1.00E-12,35.7393
217.5,12.4526,4.97626,1.00E-12,35.739
218,12.4507,4.97266,1.00E-12,35.7386
218.5,12.4486,4.96961,1.00E-12,35.7383
219,12.4458,4.96728,1.00E-12,35.738
219.5,12.4424,4.96522,1.00E-12,35.7377
220,12.4395,4.9615,1.00E-12,35.7373
220.5,12.4376,4.95958,1.00E-12,35.7371
221,12.4362,4.95636,1.00E-12,35.737
221.5,12.4351,4.95806,1.00E-12,35.7368
222,12.434,4.9562,1.00E-12,35.7366
222.5,12.4328,4.95249,1.00E-12,35.7365
223,12.4317,4.95225,1.00E-12,35.7363
223.5,12.4305,4.95251,1.00E-12,35.7362
224,12.4292,4.95185,1.00E-12,35.736
224.5,12.4278,4.9475,1.00E-12,35.7358
225,12.4262,4.94243,1.00E-12,35.7355
225.5,12.4244,4.93751,1.00E-12,35.7353
226,12.4225,4.93299,1.00E-12,35.735
226.5,12.4206,4.93044,1.00E-12,35.7348
227,12.4187,4.93016,1.00E-12,35.7345
227.5,12.417,4.93076,1.00E-12,35.7343
228,12.415,4.92832,1.00E-12,35.734
228.5,12.4129,4.92487,1.00E-12,35.7337
229,12.4111,4.92398,1.00E-12,35.7335
229.5,12.4097,4.92572,1.00E-12,35.7333
230,12.4084,4.92811,1.00E-12,35.733
230.5,12.4073,4.93353,1.00E-12,35.7328
231,12.4063,4.93755,1.00E-12,35.7326
231.5,12.4054,4.9417,1.00E-12,35.7325
232,12.4044,4.94399,1.00E-12,35.7324
232.5,12.4033,4.9467,1.00E-12,35.7322
233,12.402,4.95129,1.00E-12,35.7321
233.5,12.4008,4.95409,1.00E-12,35.732
234,12.3993,4.95504,1.00E-12,35.7318
234.5,12.3979,4.95447,1.00E-12,35.7316
235,12.3967,4.95141,1.00E-12,35.7315
235.5,12.3955,4.94742,1.00E-12,35.7313
236,12.3941,4.94349,1.00E-12,35.7311
236.5,12.3929,4.9423,1.00E-12,35.731
237,12.3916,4.94071,1.00E-12,35.7308
237.5,12.3902,4.93706,1.00E-12,35.7306
238,12.3888,4.93479,1.00E-12,35.7304
238.5,12.3874,4.93384,1.00E-12,35.7302
239,12.386,4.93128,1.00E-12,35.7299
239.5,12.3845,4.93279,1.00E-12,35.7297
240,12.383,4.93169,1.00E-12,35.7295
240.5,12.3812,4.92997,1.00E-12,35.7292
241,12.3791,4.92783,1.00E-12,35.729
241.5,12.3766,4.9204,1.00E-12,35.7287
242,12.3741,4.91432,1.00E-12,35.7284
242.5,12.3717,4.9096,1.00E-12,35.728
243,12.3689,4.90453,1.00E-12,35.7276
243.5,12.3647,4.8968,1.00E-12,35.727
244,12.3597,4.89607,1.00E-12,35.7264
244.5,12.3545,4.89811,1.00E-12,35.7257
245,12.3491,4.90056,1.00E-12,35.7249
245.5,12.3435,4.90143,1.00E-12,35.7241
246,12.3388,4.89625,1.00E-12,35.7234
246.5,12.334,4.89484,1.00E-12,35.7227
247,12.329,4.8972,1.00E-12,35.722
247.5,12.3241,4.89847,1.00E-12,35.7213
248,12.3195,4.90082,1.00E-12,35.7205
248.5,12.3149,4.904,1.00E-12,35.7198
249,12.3096,4.9094,1.00E-12,35.719
249.5,12.3041,4.91688,1.00E-12,35.7183
250,12.2979,4.91993,1.00E-12,35.7174
250.5,12.2915,4.92491,1.00E-12,35.7166
251,12.2861,4.92979,1.00E-12,35.716
251.5,12.2822,4.93093,1.00E-12,35.7155
252,12.2794,4.93224,1.00E-12,35.7151
252.5,12.2771,4.93601,1.00E-12,35.7148
253,12.2748,4.94014,1.00E-12,35.7145
253.5,12.2725,4.94247,1.00E-12,35.7141
254,12.2702,4.94405,1.00E-12,35.7137
254.5,12.2673,4.94518,1.00E-12,35.7134
255,12.2643,4.94974,1.00E-12,35.713
255.5,12.2612,4.95234,1.00E-12,35.7126
256,12.2583,4.95526,1.00E-12,35.7121
256.5,12.2554,4.95572,1.00E-12,35.7117
257,12.2521,4.95417,1.00E-12,35.7113
257.5,12.2488,4.95015,1.00E-12,35.7108
258,12.2455,4.94647,1.00E-12,35.7103
258.5,12.2429,4.94629,1.00E-12,35.7099
259,12.2405,4.94482,1.00E-12,35.7095
259.5,12.2379,4.94749,1.00E-12,35.7091
260,12.2346,4.95205,1.00E-12,35.7087
260.5,12.2316,4.95157,1.00E-12,35.7083
261,12.2288,4.94798,1.00E-12,35.708
261.5,12.2268,4.94628,1.00E-12,35.7078
262,12.2251,4.94765,1.00E-12,35.7074
262.5,12.2233,4.95174,1.00E-12,35.7071
263,12.2217,4.95189,1.00E-12,35.7069
263.5,12.2197,4.95177,1.00E-12,35.7066
264,12.2174,4.95307,1.00E-12,35.7063
264.5,12.215,4.95368,1.00E-12,35.7061
265,12.2124,4.95381,1.00E-12,35.7059
265.5,12.2096,4.949,1.00E-12,35.7056
266,12.2071,4.94602,1.00E-12,35.7054
266.5,12.2043,4.94834,1.00E-12,35.7051
267,12.2009,4.95024,1.00E-12,35.7048
267.5,12.1971,4.95472,1.00E-12,35.7045
268,12.1933,4.95903,1.00E-12,35.7042
268.5,12.1893,4.96414,1.00E-12,35.7039
269,12.1856,4.96532,1.00E-12,35.7036
269.5,12.1821,4.96995,1.00E-12,35.7033
270,12.1787,4.97352,1.00E-12,35.703
270.5,12.1756,4.97861,1.00E-12,35.7027
271,12.1728,4.98057,1.00E-12,35.7024
271.5,12.17,4.97876,1.00E-12,35.7021
272,12.1676,4.9734,1.00E-12,35.7018
272.5,12.1658,4.97115,1.00E-12,35.7016
273,12.1645,4.9704,1.00E-12,35.7013
273.5,12.1631,4.97345,1.00E-12,35.7012
274,12.162,4.97458,1.00E-12,35.701
274.5,12.161,4.9792,1.00E-12,35.7009
275,12.1602,4.98124,1.00E-12,35.7009
275.5,12.1596,4.98164,1.00E-12,35.7008
276,12.159,4.98113,1.00E-12,35.7007
276.5,12.1586,4.97774,1.00E-12,35.7006
277,12.1581,4.97845,1.00E-12,35.7005
277.5,12.1576,4.97665,1.00E-12,35.7004
278,12.1569,4.97786,1.00E-12,35.7003
278.5,12.1563,4.97975,1.00E-12,35.7002
279,12.1557,4.98165,1.00E-12,35.7002
279.5,12.1551,4.97937,1.00E-12,35.7001
280,12.1546,4.97834,1.00E-12,35.7
280.5,12.1542,4.97456,1.00E-12,35.6999
281,12.1535,4.97112,1.00E-12,35.6998
